Time (s),Speed (m/s),Acceleration (m/s^2),Elevation (m),Latitude,Longitude,Battery Voltage (V),Battery Current (A),Motor Temp (C),Brake Applied
20,2,0.5,10.397338661590123,12.971720000000001,77.59472,53.9988,0.2023955197620329,25.002476087005874,False
21,2,0.0,10.416919799692199,12.97174,77.59474,53.9986,0.5331657129895523,25.003009252718865,False
22,2,0.0,10.43645924616174,12.97176,77.59476,53.9984,0.49238361766982797,25.003501636336534,False
23,2,0.0,10.455955047070377,12.97178,77.59478,53.9982,0.5412371528061393,25.004042873489343,False
24,2,0.0,10.47540525285427,12.9718,77.5948,53.998,0.6540249654704069,25.00469689845481,False
25,2,0.0,10.494807918509046,12.971820000000001,77.59482,53.9978,0.35109709949172546,25.005047995554303,False
26,2,0.0,10.51416110378431,12.97184,77.59484,53.9976,0.5716042084916572,25.005619599762795,False
27,2,0.0,10.533462873377662,12.971860000000001,77.59486,53.9974,0.6061751214581728,25.006225774884253,False
28,2,0.0,10.552711297128228,12.97188,77.59488,53.9972,0.8012263753125514,25.007027001259566,False
29,2,0.5,10.57190445020967,12.9719,77.5949,53.997,0.6171032325559063,25.007644104492122,False
30,3,0.5,10.591040413322679,12.97193,77.59493,53.9967,1.1066404912612984,25.008750744983384,False
31,3,0.0,10.610117272886887,12.971960000000001,77.59496,53.9964,0.559464962452275,25.009310209945834,False
32,3,0.0,10.629133121232236,12.97199,77.59499,53.9961,0.7149971291063817,25.010025207074943,False
33,3,0.0,10.648086056789737,12.97202,77.59502,53.9958,0.71308324031192,25.010738290315253,False
34,3,0.0,10.66697418428163,12.972050000000001,77.59505,53.9955,0.9055887956004108,25.011643879110853,False
35,3,0.0,10.685795614910903,12.97208,77.59508,53.9952,0.6636835113152552,25.01230756262217,False
36,3,0.0,10.70454846655018,12.97211,77.59511,53.9949,0.4173349609153864,25.012724897583084,False
37,3,0.0,10.723230863929924,12.972140000000001,77.59514,53.9946,0.5045627555233192,25.013229460338607,False
38,3,0.0,10.741840938825966,12.97217,77.59517,53.9943,0.9722121355751939,25.014201672474183,False
39,3,0.5,10.760376830246322,12.9722,77.5952,53.994,0.563055337358983,25.014764727811542,False
40,4,0.5,10.778836684617302,12.972240000000001,77.59524,53.9936,0.9038017025745267,25.015668529514116,False
41,4,0.0,10.797218655968846,12.97228,77.59528,53.9932,1.3588497941000324,25.017027379308217,False
42,4,0.0,10.81552090611914,12.97232,77.59532,53.9928,1.097668675834345,25.01812504798405,False
43,4,0.0,10.833741604858421,12.97236,77.59536,53.9924,0.7939477013666942,25.018918995685418,False
44,4,0.0,10.851878930132,12.9724,77.5954,53.992,0.8776147514614947,25.01979661043688,False
45,4,0.0,10.86993106822246,12.97244,77.59544,53.9916,0.922168822921032,25.020718779259802,False
46,4,0.0,10.88789621393104,12.972480000000001,77.59548,53.9912,0.7862817082082965,25.021505060968007,False
47,4,0.0,10.905772570758137,12.972520000000001,77.59552,53.9908,0.9339650877488063,25.022439026055757,False
48,4,0.0,10.923558351082965,12.97256,77.59556,53.9904,1.0701757288308413,25.023509201784588,False
49,4,0.5,10.941251776342316,12.9726,77.5956,53.99,1.1857154920033788,25.02469491727659,False
50,5,0.5,10.958851077208406,12.97265,77.59565,53.9895,1.0562393935150507,25.025751156670108,False
51,5,0.0,10.976354493765815,12.9727,77.5957,53.989,1.4240996836850868,25.027175256353793,False
52,5,0.0,10.993760275687473,12.972750000000001,77.59575,53.9885,1.660902807442386,25.028836159161234,False
53,5,0.0,11.011066682409695,12.972800000000001,77.5958,53.988,1.3770940545734034,25.03021325321581,False
54,5,0.0,11.028271983306226,12.972850000000001,77.59585,53.9875,1.396648536423986,25.031609901752233,False
55,5,0.0,11.045374457861318,12.972900000000001,77.5959,53.987,1.083605011310617,25.032693506763543,False
56,5,0.0,11.062372395841766,12.97295,77.59595,53.9865,1.562406039036337,25.03425591280258,False
57,5,0.0,11.079264097467938,12.973,77.596,53.986,1.4577365452883704,25.035713649347866,False
58,5,0.0,11.096047873583746,12.97305,77.59605,53.9855,1.3149030832660948,25.03702855243113,False
59,5,0.5,11.112722045825567,12.9731,77.59609999999999,53.985,1.1313451147244413,25.038159897545857,False
60,6,0.5,11.12928494679007,12.97316,77.59616,53.9844,1.6694625979237676,25.03982936014378,False
61,6,0.0,11.145734920200962,12.973220000000001,77.59622,53.9838,1.7377711795689663,25.04156713132335,False
62,6,0.0,11.16207032107461,12.97328,77.59628,53.9832,1.5052402326306207,25.04307237155598,False
63,6,0.0,11.178289515884538,12.97334,77.59634,53.9826,1.409238413693499,25.044481609969676,False
64,6,0.0,11.194390882724784,12.9734,77.5964,53.982,1.2455796987336771,25.04572718966841,False
65,6,0.0,11.210372811472078,12.973460000000001,77.59646,53.9814,1.6587496322616242,25.04738593930067,False
66,6,0.0,11.226233703946868,12.97352,77.59652,53.9808,1.6507545772338177,25.049036693877902,False
67,6,0.0,11.241971974073119,12.97358,77.59658,53.9802,1.7331772194606394,25.050769871097366,False
68,6,0.0,11.257586048036938,12.97364,77.59664,53.9796,1.3358333377775917,25.052105704435142,False
69,6,0.5,11.273074364443936,12.973700000000001,77.5967,53.979,1.4497766455983243,25.05355548108074,False
70,7,0.5,11.288435374475382,12.97377,77.59677,53.9783,1.3771000123354793,25.054932581093077,False
71,7,0.0,11.303667542043073,12.973840000000001,77.59684,53.9776,1.3802290457848074,25.05631281013886,False
72,7,0.0,11.318769343942947,12.97391,77.59691,53.9769,1.8636669595476425,25.058176477098407,False
73,7,0.0,11.333739270007396,12.973980000000001,77.59698,53.9762,1.4515980220528697,25.05962807512046,False
74,7,0.0,11.34857582325629,12.97405,77.59705,53.9755,1.5804609772740628,25.061208536097734,False
75,7,0.0,11.363277520046669,12.974120000000001,77.59712,53.9748,2.1035870081441264,25.063312123105877,False
76,7,0.0,11.377842890221103,12.97419,77.59719,53.9741,1.5700974048342518,25.064882220510714,False
77,7,0.0,11.392270477254714,12.974260000000001,77.59726,53.9734,1.9584401976173924,25.06684066070833,False
78,7,0.0,11.406558838400821,12.97433,77.59733,53.9727,1.5511067465526072,25.068391767454884,False
79,7,0.5,11.420706544835216,12.974400000000001,77.5974,53.972,1.8163404539679475,25.07020810790885,False
80,8,0.5,11.434712181799046,12.97448,77.59748,53.9712,2.1387526507375,25.072346860559588,False
81,8,0.0,11.448574348740285,12.97456,77.59756,53.9704,2.0572734211682935,25.074404133980757,False
82,8,0.0,11.462291659453792,12.97464,77.59764,53.9696,1.9874951133610779,25.07639162909412,False
83,8,0.0,11.475862742219926,12.97472,77.59772,53.9688,2.2458083509600337,25.078637437445078,False
84,8,0.0,11.48928623994172,12.9748,77.5978,53.968,2.010642175239697,25.080648079620318,False
85,8,0.0,11.502560810280585,12.97488,77.59788,53.9672,1.4437762343068248,25.082091855854625,False
86,8,0.0,11.515685125790554,12.974960000000001,77.59796,53.9664,2.1711818611483094,25.084263037715772,False
87,8,0.0,11.52865787405101,12.97504,77.59804,53.9656,2.3079575838985282,25.08657099529967,False
88,8,0.0,11.541477757797939,12.97512,77.59812,53.9648,2.1661078027463714,25.088737103102417,False
89,8,0.5,11.554143495053648,12.975200000000001,77.5982,53.964,1.7565888160827103,25.0904936919185,False
90,9,0.5,11.566653819254967,12.975290000000001,77.59829,53.9631,2.326030359603174,25.092819722278104,False
91,9,0.0,11.579007479379902,12.975380000000001,77.59838,53.9622,2.235214174062053,25.095054936452165,False
92,9,0.0,11.591203240072732,12.97547,77.59847,53.9613,2.1626872984122807,25.097217623750577,False
93,9,0.0,11.603239881767555,12.97556,77.59856,53.9604,2.0996737576147035,25.099317297508193,False
94,9,0.0,11.61511620081023,12.97565,77.59865,53.9595,2.256157046058471,25.101573454554252,False
95,9,0.0,11.626831009578748,12.97574,77.59874,53.9586,2.15167530343719,25.10372512985769,False
96,9,0.0,11.638383136601997,12.97583,77.59883,53.9577,2.2822781178127274,25.1060074079755,False
97,9,0.0,11.6497714266769,12.97592,77.59892,53.9568,2.3628994648769917,25.108370307440378,False
98,9,0.0,11.660994740983941,12.97601,77.59900999999999,53.9559,2.326468497053142,25.11069677593743,False
99,9,0.5,11.672051957201042,12.9761,77.59909999999999,53.955,2.489773073056002,25.113186549010486,False
100,10,0.5,11.682941969615793,12.9762,77.5992,53.954,2.60063779738159,25.115787186807868,False
101,10,0.0,11.69366368923603,12.9763,77.5993,53.953,2.167114154063129,25.117954300961934,False
102,10,0.0,11.704216043898725,12.9764,77.5994,53.952,2.5641278119060407,25.12051842877384,False
103,10,0.0,11.714597978377206,12.9765,77.5995,53.951,2.241684418363402,25.1227601131922,False
104,10,0.0,11.724808454486677,12.976600000000001,77.5996,53.95,2.5016224829187763,25.12526173567512,False
105,10,0.0,11.734846451188034,12.976700000000001,77.5997,53.949,2.474621788008963,25.127736357463128,False
106,10,0.0,11.744710964689972,12.9768,77.5998,53.948,2.539147680849923,25.130275505143977,False
107,10,0.0,11.754401008549364,12.9769,77.5999,53.947,2.8159630399773765,25.133091468183956,False
108,10,0.0,11.763915613769894,12.977,77.6,53.946,2.233201395811638,25.135324669579767,False
109,10,0.0,11.773253828898975,12.9771,77.6001,53.945,2.4612417930113892,25.13778591137278,False
110,10,0.0,11.78241472012287,12.9772,77.6002,53.944,2.398879649334438,25.140184791022115,False
111,10,0.0,11.791397371360095,12.9773,77.6003,53.943,2.6219413509205274,25.142806732373035,False
112,10,0.0,11.80020088435301,12.977400000000001,77.6004,53.942,2.7389898646675883,25.145545722237703,False
113,10,0.0,11.808824378757652,12.977500000000001,77.6005,53.941,2.5568746423215005,25.148102596880022,False
114,10,0.0,11.817266992231767,12.9776,77.6006,53.94,2.538482155164624,25.15064107903519,False
115,10,0.0,11.825527880521042,12.9777,77.6007,53.939,2.120212195034291,25.152761291230224,False
116,10,0.0,11.833606217543533,12.9778,77.6008,53.938,2.3712654155964468,25.155132556645817,False
117,10,0.0,11.84150119547227,12.9779,77.6009,53.937,2.4383652131410094,25.15757092185896,False
118,10,0.0,11.84921202481604,12.978,77.601,53.936,2.6211964500154035,25.160192118308977,False
119,10,0.0,11.856737934498334,12.978100000000001,77.6011,53.935,2.232034645933417,25.16242415295491,False
120,10,0.0,11.864078171934452,12.978200000000001,77.6012,53.934,2.7538918750014036,25.16517804482991,False
121,10,0.0,11.871232003106773,12.9783,77.6013,53.933,2.303229746679433,25.16748127457659,False
122,10,0.0,11.878198712638135,12.9784,77.6014,53.932,2.4204979385312475,25.16990177251512,False
123,10,0.0,11.884977603863394,12.9785,77.6015,53.931,2.5897928696713777,25.172491565384792,False
124,10,0.0,11.891567998899077,12.9786,77.6016,53.93,2.821637751685585,25.17531320313648,False
125,10,0.0,11.897969238711173,12.9787,77.6017,53.929,2.5006165521824584,25.17781381968866,False
126,10,0.0,11.904180683181032,12.9788,77.6018,53.928,2.6661891902953867,25.180480008878956,False
127,10,0.0,11.910201711169385,12.978900000000001,77.6019,53.927,2.781773897373401,25.18326178277633,False
128,10,0.0,11.91603172057845,12.979000000000001,77.602,53.926,2.202954993182767,25.18546473776951,False
129,10,0.0,11.921670128412146,12.9791,77.6021,53.925,2.7892238009885983,25.1882539615705,False
130,10,0.0,11.927116370834387,12.9792,77.6022,53.924,2.74099519067215,25.190994956761173,False
131,10,0.0,11.932369903225469,12.9793,77.6023,53.923,2.727449522467032,25.19372240628364,False
132,10,0.0,11.93743020023653,12.9794,77.6024,53.922,2.5172544336266,25.196239660717268,False
133,10,0.0,11.94229675584209,12.9795,77.6025,53.921,2.5559482848021324,25.19879560900207,False
134,10,0.0,11.94696908339064,12.979600000000001,77.6026,53.92,2.4404558476178915,25.201236064849688,False
135,10,0.0,11.951446715653319,12.979700000000001,77.6027,53.919,2.3324523328265863,25.203568517182514,False
136,10,0.0,11.955729204870632,12.979800000000001,77.6028,53.918,2.2018454417060536,25.205770362624218,False
137,10,0.0,11.959816122797228,12.9799,77.6029,53.917,2.441309529355595,25.208211672153574,False
138,10,0.0,11.963707060744719,12.98,77.603,53.916,2.8103230504928898,25.211021995204067,False
139,10,0.0,11.967401629622554,12.9801,77.6031,53.915,2.4981742591274583,25.213520169463195,False
140,10,0.0,11.97089945997692,12.9802,77.6032,53.914,2.500262681661983,25.216020432144855,False
141,10,0.0,11.974200202027701,12.9803,77.6033,53.913,2.6130964332918456,25.21863352857815,False
142,10,0.0,11.977303525703439,12.980400000000001,77.6034,53.912,2.245401978485322,25.220878930556633,False
143,10,0.0,11.980209120674356,12.980500000000001,77.6035,53.911,2.4664613760748773,25.22334539193271,False
144,10,0.0,11.982916696383374,12.9806,77.6036,53.91,2.568352021355387,25.225913743954063,False
145,10,0.0,11.985425982075176,12.9807,77.6037,53.909,2.5955418566143913,25.228509285810677,False
146,10,0.0,11.98773672682329,12.9808,77.6038,53.908,2.494536724047603,25.231003822534728,False
147,10,0.0,11.98984869955516,12.9809,77.6039,53.907,2.489263035926564,25.233493085570654,False
148,10,0.0,11.99176168907528,12.981,77.604,53.906,2.5449241202968116,25.23603800969095,False
149,10,0.0,11.993475504086287,12.9811,77.6041,53.905,2.5693613505697317,25.23860737104152,False
150,10,0.0,11.994989973208108,12.981200000000001,77.6042,53.904,2.76383823191845,25.24137120927344,False
151,10,0.0,11.996304944995096,12.981300000000001,77.6043,53.903,2.5685802117598184,25.243939789485196,False
152,10,0.0,11.997420287951167,12.9814,77.6044,53.902,2.289123501908708,25.246228912987107,False
153,10,0.0,11.998335890542952,12.9815,77.6045,53.901,2.601303805390281,25.248830216792495,False
154,10,0.0,11.99905166121096,12.9816,77.6046,53.9,2.4509063568716423,25.25128112314937,False
155,10,0.0,11.999567528378714,12.9817,77.6047,53.899,2.470007867971698,25.25375113101734,False
156,10,0.0,11.999883440459932,12.9818,77.6048,53.898,2.7069956800700465,25.25645812669741,False
157,10,0.0,11.999999365863669,12.981900000000001,77.6049,53.897,2.3427617213554712,25.258800888418765,False
158,10,0.0,11.99991529299748,12.982000000000001,77.605,53.896,2.8869735894727993,25.261687862008237,False
159,10,0.0,11.999631230268582,12.9821,77.6051,53.895,2.43594922182211,25.26412381123006,False
160,10,0.0,11.99914720608301,12.9822,77.6052,53.894,2.441036370810378,25.266564847600872,False
161,10,0.0,11.998463268842782,12.9823,77.6053,53.893,3.0235578271155292,25.269588405427985,False
162,10,0.0,11.997579486941047,12.9824,77.6054,53.892,2.5920531690772206,25.272180458597063,False
163,10,0.0,11.996495948755264,12.9825,77.6055,53.891,2.8022236212631597,25.274982682218326,False
164,10,0.0,11.995212762638348,12.9826,77.6056,53.89,2.8333622652364645,25.277816044483565,False
165,10,0.0,11.993730056907838,12.982700000000001,77.6057,53.889,2.553577823530045,25.28036962230709,False
166,10,0.0,11.992047979833073,12.982800000000001,77.6058,53.888,2.5990613392320507,25.282968683646324,False
167,10,0.0,11.99016669962036,12.9829,77.6059,53.887,2.621098334238369,25.285589781980562,False
168,10,0.0,11.988086404396151,12.983,77.606,53.886,2.6284905133176193,25.288218272493882,False
169,10,0.0,11.985807302188237,12.9831,77.6061,53.885,2.4241746646716837,25.290642447158554,False
170,10,0.0,11.983329620904938,12.9832,77.6062,53.884,2.3795581189957793,25.29302200527755,False
171,10,0.0,11.980653608312316,12.9833,77.6063,53.883,2.315379927615821,25.295337385205166,False
172,10,0.0,11.977779532009404,12.9834,77.6064,53.882,2.3552420509009466,25.297692627256065,False
173,10,0.0,11.974707679401433,12.983500000000001,77.6065,53.881,2.421368733637027,25.3001139959897,False
174,10,0.0,11.971438357671108,12.983600000000001,77.6066,53.88,2.2780546988327517,25.302392050688535,False
175,10,0.0,11.967971893747874,12.9837,77.6067,53.879,2.076123722511417,25.304468174411046,False
176,10,0.0,11.964308634275238,12.9838,77.60679999999999,53.878,2.4215998162061645,25.30688977422725,False
177,10,0.0,11.960448945576092,12.9839,77.6069,53.877,2.636382097574518,25.30952615632483,False
178,10,0.0,11.95639321361609,12.984,77.607,53.876,2.555393861974123,25.3120815501868,False
179,10,0.0,11.952141843965048,12.9841,77.6071,53.875,2.3533551942289126,25.31443490538103,False
180,10,0.0,11.94769526175639,12.984200000000001,77.6072,53.874,2.735146135907023,25.31717005151694,False
181,10,0.0,11.94305391164463,12.984300000000001,77.6073,53.873,2.7026892212463696,25.319872740738184,False
182,10,0.0,11.938218257760912,12.9844,77.6074,53.872,2.423564047187247,25.32229630478537,False
183,10,0.0,11.933188783666596,12.9845,77.6075,53.871,2.1870440409627054,25.324483348826334,False
184,10,0.0,11.927965992304896,12.9846,77.6076,53.87,2.7379376210196633,25.327221286447354,False
185,10,0.0,11.9225504059506,12.9847,77.6077,53.869,2.6846013940062186,25.32990588784136,False
186,10,0.0,11.916942566157829,12.9848,77.6078,53.868,2.377864655849779,25.332283752497208,False
187,10,0.0,11.911143033705889,12.9849,77.6079,53.867,2.652480086609528,25.334936232583818,False
188,10,0.0,11.905152388543192,12.985000000000001,77.608,53.866,2.383640396819654,25.33731987298064,False
189,10,0.0,11.898971229729261,12.985100000000001,77.6081,53.865,2.452739611647012,25.339772612592284,False
190,10,0.0,11.89260017537483,12.9852,77.6082,53.864,2.601887936275082,25.34237450052856,False
191,10,0.0,11.886039862580022,12.9853,77.6083,53.863,2.4394017372907775,25.34481390226585,False
192,10,0.0,11.87929094737065,12.9854,77.6084,53.862,2.645812617782167,25.347459714883634,False
193,10,0.0,11.872354104632612,12.9855,77.6085,53.861,2.658112854476012,25.35011782773811,False
194,10,0.0,11.865230028044401,12.9856,77.6086,53.86,2.5420914099282426,25.35265991914804,False
195,10,0.0,11.857919430007739,12.9857,77.6087,53.859,2.8954149487305916,25.355555334096767,False
196,10,0.0,11.850423041576336,12.985800000000001,77.6088,53.858,2.6031224088581326,25.358158456505627,False
197,10,0.0,11.84274161238279,12.9859,77.6089,53.857,2.6185026256886244,25.360776959131314,False
198,10,0.0,11.83487591056362,12.986,77.609,53.856,2.809414976335154,25.36358637410765,False
199,10,0.0,11.82682672268245,12.9861,77.6091,53.855,2.1057280799888884,25.36569210218764,False
200,10,0.0,11.818594853651364,12.9862,77.6092,53.854,2.7797649409358933,25.368471867128576,False
201,10,0.0,11.810181126650402,12.9863,77.6093,53.853,2.505593607211305,25.370977460735787,False
202,10,0.0,11.801586383045255,12.9864,77.6094,53.852,2.272781481489191,25.373250242217274,False
203,10,0.0,11.792811482303119,12.986500000000001,77.6095,53.851,2.6539394904415765,25.375904181707718,False
204,10,0.0,11.783857301906759,12.986600000000001,77.6096,53.85,2.615066443594921,25.378519248151314,False
205,10,0.0,11.774724737266752,12.9867,77.6097,53.849,2.22446270133469,25.38074371085265,False
206,10,0.0,11.765414701631947,12.9868,77.60979999999999,53.848,2.6847072820071642,25.383428418134653,False
207,10,0.0,11.755928125998157,12.9869,77.6099,53.847,2.4405562220902173,25.385868974356743,False
208,10,0.0,11.746265959015034,12.987,77.61,53.846,2.5826775246912943,25.388451651881436,False
209,10,0.0,11.736429166891226,12.9871,77.6101,53.845,2.5209326945896264,25.390972584576026,False
210,10,0.0,11.726418733297747,12.9872,77.6102,53.844,2.643062850057555,25.39361564742608,False
211,10,0.0,11.716235659269618,12.987300000000001,77.6103,53.843,2.323832770499548,25.39593948019658,False
212,10,0.0,11.705880963105752,12.987400000000001,77.6104,53.842,2.2522959762741444,25.398191776172858,False
213,10,0.0,11.69535568026714,12.9875,77.6105,53.841,2.489895620927527,25.400681671793784,False
214,10,0.0,11.684660863273292,12.9876,77.6106,53.84,2.7067420610479513,25.40338841385483,False
215,10,0.0,11.673797581596995,12.9877,77.6107,53.839,2.6004568183821535,25.405988870673212,False
216,10,0.0,11.662766921557367,12.9878,77.6108,53.838,2.53146451682508,25.40852033519004,False
217,10,0.0,11.651569986211216,12.9879,77.6109,53.837,2.4879701460906203,25.41100830533613,False
218,10,0.0,11.640207895242748,12.988,77.611,53.836,2.6604077527404772,25.41366871308887,False
219,10,0.0,11.628681784851592,12.988100000000001,77.6111,53.835,2.535493548312105,25.416204206637182,False
220,10,0.0,11.61699280763918,12.9882,77.6112,53.834,2.4757553680213062,25.418679962005204,False
221,10,0.0,11.605142132493494,12.9883,77.6113,53.833,2.948628882625064,25.421628590887828,False
222,10,0.0,11.593130944472174,12.9884,77.6114,53.832,2.7019282009937666,25.424330519088823,False
223,10,0.0,11.58096044468401,12.9885,77.6115,53.831,2.69112924562463,25.427021648334446,False
224,10,0.0,11.56863185016884,12.9886,77.6116,53.83,2.63803848579973,25.429659686820248,False
225,10,0.0,11.556146393775842,12.9887,77.6117,53.829,2.4516599591040995,25.43211134677935,False
226,10,0.0,11.543505324040252,12.988800000000001,77.6118,53.828,2.261091778723019,25.434372438558075,False
227,10,0.0,11.530709905058508,12.988900000000001,77.6119,53.827,2.5271512216276766,25.436899589779703,False
228,10,0.0,11.517761416361843,12.989,77.612,53.826,2.5051766540776788,25.43940476643378,False
229,10,0.0,11.50466115278834,12.9891,77.6121,53.825,2.354190198207518,25.441758956631986,False
230,10,0.0,11.49141042435344,12.9892,77.6122,53.824,2.3040758784159814,25.444063032510403,False
231,10,0.0,11.478010556118942,12.9893,77.6123,53.823,2.6000173434696587,25.44666304985387,False
232,10,0.0,11.464462888060503,12.9894,77.6124,53.822,2.415605306871072,25.449078655160744,False
233,10,0.0,11.450768774933639,12.9895,77.6125,53.821,2.3015524188075545,25.45138020757955,False
234,10,0.0,11.436929586138252,12.989600000000001,77.6126,53.82,2.5823249078973562,25.45396253248745,False
235,10,0.0,11.422946705581689,12.989700000000001,77.6127,53.819,2.259222408789018,25.456221754896237,False
236,10,0.0,11.408821531540353,12.9898,77.6128,53.818,2.448734158516162,25.458670489054754,False
237,10,0.0,11.394555476519876,12.9899,77.6129,53.817,2.491070975440431,25.461161560030195,False
238,10,0.0,11.380149967113873,12.99,77.613,53.816,2.9188500252911456,25.464080410055484,False
239,10,0.0,11.36560644386128,12.9901,77.6131,53.815,2.5409264006444157,25.46662133645613,False
240,10,0.0,11.350926361102301,12.9902,77.6132,53.814,2.639567079959401,25.46926090353609,False
241,10,0.0,11.336111186832982,12.990300000000001,77.6133,53.813,2.5686881623076925,25.4718295916984,False
242,10,0.0,11.321162402558402,12.990400000000001,77.6134,53.812,2.7989126205960804,25.474628504318993,False
243,10,0.0,11.30608150314453,12.9905,77.6135,53.811,2.885509706496165,25.477514014025488,False
244,10,0.0,11.290869996668741,12.9906,77.6136,53.81,2.0104396559785833,25.479524453681467,False
245,10,0.0,11.275529404269006,12.9907,77.6137,53.809,2.4456578083602456,25.48197011148983,False
246,10,0.0,11.260061259991785,12.9908,77.6138,53.808,2.5606895072816016,25.48453080099711,False
247,10,0.0,11.24446711063861,12.9909,77.6139,53.807,2.5045405915259464,25.487035341588637,False
248,10,0.0,11.228748515611423,12.991,77.614,53.806,2.744464581163901,25.4897798061698,False
249,10,0.0,11.21290704675663,12.991100000000001,77.6141,53.805,2.5521565104291666,25.49233196268023,False
250,10,0.0,11.196944288207913,12.991200000000001,77.6142,53.804,2.3455103619492452,25.494677473042177,False
251,10,0.0,11.180861836227825,12.9913,77.6143,53.803,2.5561031481739542,25.49723357619035,False
252,10,0.0,11.164661299048163,12.9914,77.6144,53.802,2.159460219622937,25.499393036409973,False
253,10,0.0,11.148344296709144,12.9915,77.6145,53.801,2.4037103225908236,25.501796746732566,False
254,10,0.0,11.131912460897405,12.9916,77.6146,53.8,2.3626930055276634,25.504159439738093,False
255,10,0.0,11.115367434782833,12.9917,77.6147,53.799,2.281356362019458,25.50644079610011,False
256,10,0.0,11.098710872854253,12.9918,77.6148,53.798,3.0211815895124743,25.509461977689625,False
257,10,0.0,11.081944440753977,12.991900000000001,77.6149,53.797,2.1868951775090473,25.511648872867134,False
258,10,0.0,11.065069815111242,12.992,77.615,53.796,2.3653741272504027,25.514014246994385,False
259,10,0.0,11.048088683374552,12.9921,77.6151,53.795,2.606348068985043,25.51662059506337,False
260,10,0.0,11.031002743642928,12.9922,77.6152,53.794,2.3962521703024757,25.519016847233672,False
261,10,0.0,11.013813704496107,12.9923,77.6153,53.793,2.6446689653968307,25.521661516199067,False
262,10,0.0,10.996523284823677,12.9924,77.6154,53.792,2.610691817334475,25.524272208016402,False
263,10,0.0,10.9791332136532,12.9925,77.6155,53.791,2.619510448504182,25.526891718464906,False
264,10,0.0,10.961645229977297,12.992600000000001,77.6156,53.79,2.335976049865003,25.529227694514773,False
265,10,0.0,10.944061082579765,12.992700000000001,77.6157,53.789,2.3775985314452073,25.53160529304622,False
266,10,0.0,10.92638252986069,12.9928,77.6158,53.788,2.6368120187494855,25.534242105064966,False
267,10,0.0,10.908611339660613,12.9929,77.6159,53.787,2.2411770868154357,25.53648328215178,False
268,10,0.0,10.890749289083741,12.993,77.616,53.786,2.71009346788549,25.539193375619668,False
269,10,0.0,10.872798164320253,12.9931,77.6161,53.785,2.4049332744792125,25.541598308894148,False
270,10,0.0,10.85475976046766,12.9932,77.6162,53.784,2.3811418992920346,25.54397945079344,False
271,10,0.0,10.836635881351318,12.9933,77.6163,53.783,2.077609799748271,25.54605706059319,False
272,10,0.0,10.818428339344035,12.993400000000001,77.6164,53.782,2.4859644871478013,25.548543025080335,False
273,10,0.0,10.800138955184838,12.993500000000001,77.6165,53.781,2.6102335587044854,25.55115325863904,False
274,10,0.0,10.781769557796904,12.9936,77.6166,53.78,2.7209216312193107,25.55387418027026,False
275,10,0.0,10.763321984104664,12.9937,77.6167,53.779,2.577240563996468,25.556451420834257,False
276,10,0.0,10.74479807885011,12.9938,77.6168,53.778,2.3977722398596657,25.558849193074117,False
277,10,0.0,10.726199694408336,12.9939,77.6169,53.777,2.577582615873323,25.561426775689988,False
278,10,0.0,10.707528690602285,12.994,77.617,53.776,2.6446485371774435,25.564071424227166,False
